#               time           E_Zeeman            E_total                m_x                m_y                m_z 
#                <s>                <J>                <J>                 <>                 <>                 <> 
             9.6e-10      -80000.000442      -80000.000442    -0.419893321763    -0.428590236774      0.80000000442 
             9.7e-10     -80000.0004469     -80000.0004469    -0.315731684502    -0.510209266919     0.800000004469 
             9.8e-10     -80000.0004514     -80000.0004514      -0.1962120573    -0.567010424202     0.800000004514 
             9.9e-10     -80000.0004552     -80000.0004552   -0.0671481779793    -0.596230756279     0.800000004552 
               1e-09     -80000.0004621     -80000.0004621    0.0651819590052    -0.596448912058     0.800000004621 
            1.01e-09     -80000.0004658     -80000.0004658     0.194341480147    -0.567654279852     0.800000004658 
            1.02e-09     -80000.0004712     -80000.0004712     0.314047738733    -0.511247503703     0.800000004712 
            1.03e-09     -80000.0004765     -80000.0004765     0.418477918726     -0.42997235226     0.800000004765 
            1.04e-09     -80000.0004815     -80000.0004815     0.502552271294    -0.327782255028     0.800000004815 
            1.05e-09      -80000.000486      -80000.000486     0.562181206689    -0.209647997542      0.80000000486 
            1.06e-09     -80000.0004899     -80000.0004899     0.594464222267    -0.081315929725     0.800000004899 
            1.07e-09     -80000.0004957     -80000.0004957     0.597830990256    0.0509715511396     0.800000004957 
            1.08e-09        -80000.0005        -80000.0005     0.572117742454     0.180779646441        0.800000005 
            1.09e-09     -80000.0005052     -80000.0005052      0.51857523657     0.301794161179     0.800000005052 
             1.1e-09     -80000.0005105     -80000.0005105     0.439807915872     0.408128642414     0.800000005105 
            1.11e-09     -80000.0005155     -80000.0005155      0.33964722263     0.494610711275     0.800000005155 
            1.12e-09     -80000.0005201     -80000.0005201     0.222965227014     0.557033660586     0.800000005201 
            1.13e-09     -80000.0005241     -80000.0005241    0.0954376372455     0.592361079771     0.800000005241 
            1.14e-09     -80000.0005296     -80000.0005296   -0.0367322812419     0.598874553561     0.800000005296 
            1.15e-09     -80000.0005344     -80000.0005344    -0.167115448371     0.576257249992     0.800000005344 
            1.16e-09     -80000.0005396     -80000.0005396    -0.289369696187     0.525609332186     0.800000005396 
            1.17e-09     -80000.0005449     -80000.0005449    -0.397548267992     0.449394443321     0.800000005449 
            1.18e-09       -80000.00055       -80000.00055    -0.486389083671       0.3513198689       0.8000000055 
            1.19e-09     -80000.0005546     -80000.0005546    -0.551570700616     0.236156204981     0.800000005546 
             1.2e-09     -80000.0005587     -80000.0005587    -0.589922519667     0.109505304285     0.800000005587 
            1.21e-09     -80000.0005632     -80000.0005632    -0.599579011085   -0.0224722121382     0.800000005632 
            1.22e-09     -80000.0005685     -80000.0005685    -0.580070458527    -0.153356623133     0.800000005685 
            1.23e-09     -80000.0005734     -80000.0005734    -0.532345807597    -0.276781378974     0.800000005734 
            1.24e-09     -80000.0005788     -80000.0005788    -0.458726506357    -0.386742786482     0.800000005788 
