#               step               time           E_Zeeman            E_total                m_x                m_y                m_z            m_error            skx_num 
#                 <>                <s>                <J>                <J>                 <>                 <>                 <>                 <>                 <> 
                 151           1.51e-10     -87042.7291229     -87042.7291229    -0.438489150466     0.223793645565     0.870427291229   9.3985708105e-11                  0 
                 152           1.52e-10     -87255.3307018     -87255.3307018    -0.438982107677     0.214348864563     0.872553307018  9.37618871433e-11                  0 
                 153           1.53e-10     -87464.6777192     -87464.6777192    -0.439297318801     0.204965560592     0.874646777192  9.33153554428e-11                  0 
                 154           1.54e-10      -87670.812367      -87670.812367    -0.439437374247     0.195646774037      0.87670812367  9.26456689143e-11                  0 
                 155           1.55e-10     -87873.7765407     -87873.7765407    -0.439404905485     0.186395463645     0.878737765407  9.18085607537e-11                  0 
                 156           1.56e-10     -88073.6118327     -88073.6118327    -0.439202582808      0.17721450649     0.880736118327  9.08499941943e-11                  0 
                 157           1.57e-10     -88270.3595262     -88270.3595262    -0.438833113133     0.168106697991     0.882703595262  8.98068286403e-11                  0 
                 158           1.58e-10     -88464.0605884     -88464.0605884    -0.438299237831     0.159074751974     0.884640605884  8.87083739798e-11                  0 
                 159           1.59e-10     -88654.7556654     -88654.7556654    -0.437603730577     0.150121300793     0.886547556654  8.75775008069e-11                  0 
                 160            1.6e-10     -88842.4850765     -88842.4850765    -0.436749395238     0.141248895485     0.888424850765  8.64315286009e-11                  0 
                 161           1.61e-10     -89027.2888093     -89027.2888093    -0.435739063789     0.132460005981     0.890272888093   8.5282669815e-11                  0 
                 162           1.62e-10     -89209.2065151     -89209.2065151    -0.434575594262     0.123757021357     0.892092065151  8.41400282781e-11                  0 
                 163           1.63e-10     -89388.2775043     -89388.2775043    -0.433261868718     0.115142250125     0.893882775043   8.3504980708e-11                  0 
                 164           1.64e-10     -89564.5407427     -89564.5407427    -0.431800791263     0.106617920567     0.895645407427  8.27518054081e-11                  0 
                 165           1.65e-10     -89738.0348475     -89738.0348475    -0.430195286088    0.0981861811144     0.897380348475  8.18292100746e-11                  0 
                 166           1.66e-10     -89908.7980843     -89908.7980843    -0.428448295548    0.0898491007574     0.899087980843  8.07822697624e-11                  0 
                 167           1.67e-10     -90076.8683636     -90076.8683636    -0.426562778268    0.0816086694965     0.900768683636   7.9648287965e-11                  0 
                 168           1.68e-10      -90242.283238      -90242.283238    -0.424541707287    0.0734667988285      0.90242283238   7.8456796615e-11                  0 
                 169           1.69e-10     -90405.0799001     -90405.0799001    -0.422388068234    0.0654253222672     0.904050799001  7.72308883512e-11                  0 
                 170            1.7e-10     -90565.2951797     -90565.2951797    -0.420104857541    0.0574859958975     0.905652951797  7.59885487867e-11                  0 
                 171           1.71e-10     -90722.9655419     -90722.9655419    -0.417695080687    0.0496504989613     0.907229655419  7.47433226422e-11                  0 
                 172           1.72e-10     -90878.1270858     -90878.1270858    -0.415161750476    0.0419204344741     0.908781270858   7.3504757836e-11                  0 
                 173           1.73e-10     -91030.8155422     -91030.8155422    -0.412507885356    0.0342973298714     0.910308155422  7.22786275276e-11                  0 
                 174           1.74e-10     -91181.0662728     -91181.0662728    -0.409736507766    0.0267826376835     0.911810662728  7.14364123411e-11                  0 
                 175           1.75e-10     -91328.9142692     -91328.9142692    -0.406850642521    0.0193777362356     0.913289142692  7.05449032523e-11                  0 
                 176           1.76e-10     -91474.3941517     -91474.3941517    -0.403853315231    0.0120839303767     0.914743941517  6.95217217128e-11                  0 
                 177           1.77e-10     -91617.5401689     -91617.5401689    -0.400747550758   0.00490245223184     0.916175401689  6.84032830378e-11                  0 
                 178           1.78e-10      -91758.386197      -91758.386197    -0.397536371702  -0.00216553802601      0.91758386197  6.48474607345e-11                  0 
                 179           1.79e-10       -91896.96574       -91896.96574    -0.394222796935  -0.00911895136958       0.9189696574  5.92343951666e-11                  0 
                 180            1.8e-10     -92033.3119292     -92033.3119292    -0.390809840159   -0.0159567690982     0.920333119292  5.51907408664e-11                  0 
                 181           1.81e-10     -92167.4575237     -92167.4575237      -0.3873005085   -0.0226780420025     0.921674575237  5.55502310817e-11                  0 
                 182           1.82e-10     -92299.4349103     -92299.4349103    -0.383697801116   -0.0292818895156     0.922994349103  5.51765300116e-11                  0 
                 183           1.83e-10      -92429.276104      -92429.276104    -0.380004707892   -0.0357674988191      0.92429276104  5.17121900856e-11                  0 
                 184           1.84e-10     -92557.0127489     -92557.0127489    -0.376224208145   -0.0421341239457     0.925570127489  4.76398920313e-11                  0 
                 185           1.85e-10     -92682.6761187     -92682.6761187    -0.372359269339   -0.0483810848767     0.926826761187  4.49320580742e-11                  0 
                 186           1.86e-10      -92806.297118      -92806.297118    -0.368412845853   -0.0545077666183      0.92806297118  4.30822044706e-11                  0 
                 187           1.87e-10     -92927.9062826     -92927.9062826    -0.364387877791   -0.0605136182569     0.929279062826  4.11053413529e-11                  0 
                 188           1.88e-10     -93047.5337814     -93047.5337814    -0.360287289824   -0.0663981520032     0.930475337814  3.89424048564e-11                  0 
                 189           1.89e-10     -93165.2094173     -93165.2094173    -0.356113990056   -0.0721609422265     0.931652094173   3.6952441107e-11                  0 
                 190            1.9e-10      -93280.962629      -93280.962629    -0.351870868927   -0.0778016244775      0.93280962629  3.52411433369e-11                  0 
                 191           1.91e-10     -93394.8224921     -93394.8224921    -0.347560798156   -0.0833198944997     0.933948224921   3.3669067534e-11                  0 
                 192           1.92e-10      -93506.817721      -93506.817721    -0.343186629708   -0.0887155072287      0.93506817721  3.22095683458e-11                  0 
                 193           1.93e-10     -93616.9766708     -93616.9766708    -0.338751194801   -0.0939882757852     0.936169766708   3.0881963653e-11                  0 
